,PLAYER,DREB%,%DREB,STL%,%BLK
476,Omer Asik,20.8,29.5,8.0,28.6
477,Darrell Arthur,8.7,13.3,29.6,21.4
478,Marcus Paige,16.7,19.0,0.0,0.0
479,Thomas Bryant,19.7,28.6,9.1,25.0
480,Jason Smith,12.2,17.5,8.3,44.8
481,Richard Jefferson,9.9,13.6,8.7,5.6
482,Derrick Rose,5.3,8.2,10.8,11.4
483,James Young,2.9,5.0,0.0,0.0
484,Meyers Leonard,25.1,33.7,18.9,0.0
485,Charles Cooke,4.9,7.7,33.3,0.0
486,Larry Drew II,0.0,0.0,0.0,0.0
487,Jake Layman,7.8,11.4,23.1,44.4
488,Josh McRoberts,0.0,0.0,0.0,0.0
489,Jarell Eddie,16.7,16.7,33.3,0.0
490,TJ Leaf,11.9,18.2,7.7,12.5
491,Demetrius Jackson,8.6,11.9,45.5,14.3
492,Elfrid Payton,11.7,17.3,28.1,11.6
493,Josh Smith,10.0,14.3,0.0,0.0
494,John Holland,10.4,15.9,28.0,12.5
495,Marcus Georges-Hunt,4.3,7.0,12.5,0.0
496,Cole Aldrich,28.6,40.0,14.3,25.0
497,Nate Wolters,5.6,9.1,0.0,0.0
498,Trey Burke,7.4,11.4,22.9,4.8
499,Scotty Hopson,0.0,0.0,0.0,0.0
500,Chris McCullough,18.8,28.1,0.0,71.4
501,PJ Dozier,20.0,33.3,0.0,0.0
502,Jonathan Gibson,7.1,10.0,0.0,0.0
503,Jameel Warney,20.0,25.0,0.0,0.0
504,Jalen Jones,15.4,22.7,27.8,5.9
505,MarShon Brooks,7.7,12.1,26.8,21.4
506,Reggie Hearn,0.0,0.0,0.0,0.0
507,Jahlil Okafor,19.0,27.1,8.1,56.3
508,Xavier Munford,0.0,0.0,50.0,0.0
509,D.J. Wilson,15.7,21.6,18.8,20.0
510,Ante Zizic,17.9,25.5,7.4,61.9
511,Georgios Papagiannis,21.6,31.6,17.4,60.0
512,Bobby Brown,6.1,8.4,22.2,0.0
513,Chris Boucher,100,100,0.0,0.0
514,Adreian Payne,22.6,36.8,25.0,0.0
515,Shabazz Muhammad,13.6,20.4,12.2,10.0
516,Monte Morris,8.0,12.5,50.0,0.0
